"Metric","rf_equipo_tot","KNN_dic_equipo_tot","RANGER_equipo_tot","rf_fecha_tot","rf_matrix_total","RF_matrix_carga","KNN_equipo_dic_cc","Ranger_matrix_dich_cc"
"Accuracy","0.48","0.5","0.5","0.474","0.507","0.236","0.31","0.226"
"Kappa","0.063","0.5","0.101","0.059","0.135","0","0.002","-0.041"
"Sensitivity","0.298","0.5","0.309","0.277","0.266","0","0.191","0.088"
"Specificity","0.776","0.5","0.81","0.793","0.897","1","0.812","0.812"
"Precision","0.683","0.5","0.725","0.684","0.806","0","0.813","0.667"
"F1_Score","0.415","0.5","0.433","0.394","0.4","0","0.31","0.156"
"NPV","0.405","0.5","0.42","0.404","0.43","0.236","0.191","0.173"
"Prevalence","0.618","0.5","0.618","0.618","0.618","0.764","0.81","0.81"
"Detection_Rate","0.184","0.5","0.191","0.171","0.164","0","0.155","0.071"
"Balanced_Accuracy","0.537","0.5","0.559","0.535","0.581","0.5","0.502","0.45"
"LR+","1.329","0.5","1.627","1.337","2.571","0","1.02","0.471"
"LR-","0.905","0.5","0.853","0.912","0.819","1","0.995","1.122"
"AUC","0.579","0.5","0.593","0.56","0.636","0.522","0.549","0.46"
