"Metric","rf_equipo_tot","glm_equipo_tot","KNN_equipo_tot","RANGER_equipo_tot","RF_fecha_dic_tot","GLM_fecha_dic_tot","KNN_fecha_dic_tot","ran_fecha_dic_tot","rf_dico_matrix_tot","GLM_dico_matrix_tot","KNN_dico_matrix_tot","RANGER_dico_matrix_dico","rf_matrix_total","GLM_matrix_total","knn_matrix_total","RANGER_matrix_tot","RF_equipo_dico_carga","GLM_equipo_dic_carga","KNN_dic_equipo_tot","Ranger_equipo_dich_carga","RF_fecha_carga","GLM_fecha_carga","Ranger_FECHA_carga","KNN_fecha_carga","RF_matrix_carga","GLM_matrix_carga","KNN_matrix_carga","RANGER_matrix_carga","RFd_carga","GLMd_carga","KNNd_carga","Ranger_matrix_dich_carga","rf_equipo_covid","GLM_covid_equipo","KNN_covid_equipo","RANGER_equipo_covid","RF_fecha_dico_covid","GLM_fecha_dic_covid","KNN_fecha_dic_covid","Ranger_fecha_covid_dico","RFd_matrix_covid","GLMd_matrix_covid","KNNd_matrix_dico","Ranger_matrix_dich_covid","RF_fecha_covid","GLM_fecha_covid","KNN_fecha_covid","Ranger_matrix_covid","RF_equipo_dic_cc","GLM_equipo_dic_cc","KNN_equipo_dic_cc","Ranger_equipo_dich_cc","RF_fecha_cc","GLM_fecha_cc","KNN_fecha_cc","Ranger_FECHA_cc","RFd_matrix_cc","GLMd_matrix_cc","KNNd_matrix_cc","Ranger_matrix_dich_cc","RF_matrix_cc","GLM_matrix_cc","KNN_MATRIX_cc","RANGER_matrix_cc"
"Accuracy","0.679","0.624","0.661","0.688","0.661","0.633","0.661","0.67","0.624","0.624","0.651","0.67","0.67","0","0","0.642","0.625","0.604","0.606","0.625","0.708","0.708","0.292","0.688","0.633","0.617","0.617","0.633","0.617","0.583","0.683","0.65","0.667","0.616","0.566","0.657","0.657","0.606","0.667","0.616","0.596","0.667","0.545","0.616","0.646","0.616","0.586","0.616","0.684","0.719","0.614","0.614","0.696","0.696","0.674","0.696","0.596","0.632","0.649","0.632","0.614","0.614","0.684","0.596"
"Kappa","0.259","0.065","0.223","0.283","0.25","0.164","0.263","0.234","0.216","0.183","0.264","0.279","0.234","0","0","0.174","-0.149","-0.07","0.164","-0.149","0","0","0","-0.04","0.088","-0.009","0.014","0.046","0.133","0.094","0.312","0.192","0.189","0.031","0.043","0.16","0.225","0.115","0.266","0.117","0.054","0.186","0.002","0.068","0.103","0.007","0.137","0.007","0.298","0.353","0.212","0","0","0","-0.042","0","0.044","0.143","0.206","0.143","0.059","0.04","0.259","0.025"
"Sensitivity","0.326","0.07","0.326","0.349","0.419","0.302","0.465","0.302","0.535","0.419","0.535","0.465","0.302","0","0","0.279","0","0.143","0.465","0","0","0","1","0","0.182","0.045","0.091","0.091","0.364","0.409","0.545","0.364","0.179","0.026","0.308","0.154","0.359","0.308","0.436","0.256","0.243","0.243","0.324","0.189","0.135","0.054","0.487","0.054","0.455","0.409","0.591","0","0","0","0","0","0.182","0.273","0.364","0.273","0.136","0.091","0.318","0.136"
"Specificity","0.909","0.985","0.879","0.909","0.818","0.848","0.788","0.909","0.682","0.758","0.727","0.803","0.909","0","0","0.879","0.882","0.794","0.697","0.882","1","1","0","0.971","0.895","0.947","0.921","0.947","0.763","0.684","0.763","0.816","0.983","1","0.733","0.983","0.85","0.8","0.817","0.85","0.806","0.919","0.677","0.871","0.952","0.952","0.65","0.952","0.829","0.914","0.629","1","1","1","0.969","1","0.857","0.857","0.829","0.857","0.914","0.943","0.914","0.886"
"Precision","0.7","0.75","0.636","0.714","0.6","0.565","0.588","0.684","0.523","0.529","0.561","0.606","0.684","0","0","0.6","0","0.222","0.5","0","0","0","0.292","0","0.5","0.333","0.4","0.5","0.471","0.429","0.571","0.533","0.875","1","0.429","0.857","0.609","0.5","0.607","0.526","0.429","0.643","0.375","0.467","0.625","0.4","0.475","0.4","0.625","0.75","0.5","0","0","0","0","0","0.444","0.545","0.571","0.545","0.5","0.5","0.7","0.429"
"F1_Score","0.444","0.128","0.431","0.469","0.493","0.394","0.519","0.419","0.529","0.468","0.548","0.526","0.419","0","0","0.381","0","0.174","0.482","0","0","0","0.452","0","0.267","0.08","0.148","0.154","0.41","0.419","0.558","0.432","0.298","0.05","0.358","0.261","0.452","0.381","0.507","0.345","0.31","0.353","0.348","0.269","0.222","0.095","0.481","0.095","0.526","0.529","0.542","0","0","0","0","0","0.258","0.364","0.444","0.364","0.214","0.154","0.438","0.207"
"NPV","0.674","0.619","0.667","0.682","0.684","0.651","0.693","0.667","0.692","0.667","0.706","0.697","0.667","0","0","0.652","0.682","0.692","0.667","0.682","0.708","0.708","0","0.702","0.654","0.632","0.636","0.643","0.674","0.667","0.744","0.689","0.648","0.612","0.62","0.641","0.671","0.64","0.69","0.637","0.641","0.671","0.627","0.643","0.648","0.628","0.661","0.628","0.707","0.711","0.71","0.614","0.696","0.696","0.689","0.696","0.625","0.652","0.674","0.652","0.627","0.623","0.681","0.62"
"Prevalence","0.394","0.394","0.394","0.394","0.394","0.394","0.394","0.394","0.394","0.394","0.394","0.394","0.394","0","0","0.394","0.292","0.292","0.394","0","0.292","0.292","0.292","0.292","0.367","0.367","0.367","0.367","0.367","0.367","0.367","0.367","0.394","0.394","0.394","0.394","0.394","0.394","0.394","0.394","0.374","0.374","0.374","0.374","0.374","0.374","0.394","0.374","0.386","0.386","0.386","0.386","0.304","0.304","0.304","0.304","0.386","0.386","0.386","0.386","0.386","0.386","0.386","0.386"
"Detection_Rate","0.128","0.028","0.128","0.138","0.165","0.119","0.183","0.119","0.211","0.165","0.211","0.183","0.119","0","0","0.11","0","0.042","0.183","0","0","0","0.292","0","0.067","0.017","0.033","0.033","0.133","0.15","0.2","0.133","0.071","0.01","0.121","0.061","0.141","0.121","0.172","0.101","0.091","0.091","0.121","0.071","0.051","0.02","0.192","0.02","0.175","0.158","0.228","0","0","0","0","0","0.07","0.105","0.14","0.105","0.053","0.035","0.123","0.053"
"Balanced_Accuracy","0.617","0.527","0.602","0.629","0.618","0.575","0.626","0.606","0.608","0.588","0.631","0.634","0.606","0","0","0.579","0.441","0.468","0.581","0.441","0.5","0.5","0.5","0.485","0.538","0.496","0.506","0.519","0.563","0.547","0.654","0.59","0.581","0.513","0.521","0.569","0.604","0.554","0.626","0.553","0.525","0.581","0.501","0.53","0.543","0.503","0.569","0.503","0.642","0.662","0.61","0.5","0.5","0.5","0.484","0.5","0.519","0.565","0.596","0.565","0.525","0.517","0.616","0.511"
