Metric;rf_equipo_tot;KNN_equipo_tot;glm_equipo_tot;RANGER_equipo_tot;rf_fecha_tot;KNN_fecha_tot;glm_fecha_tot;ranger_fecha_tot;rfdico_equipo_tot;GLM_equipo_dic_equipo_tot;KNN_dic_equipo_tot;RANGER_dico_equipo_tot;RF_fecha_dic_tot;GLM_fecha_dic_tot;ran_fecha_dic_tot;KNN_fecha_dic_tot;rf_dico_matrix_tot;KNN_dico_matrix_tot;GLM_dico_matrix_tot;RANGER_dico_matrix_dico;rf_matrix_total;GLM_matrix_total;knn_matrix_total;RANGER_matrix_tot;RF_equipo_dico_carga;GLM_equipo_dic_carga;KNN_equipo_dic;Ranger_equipo_dich_carga;RANGER_fecha_dic_carga;RF_fecha_dic_carga;GLM_fecha_dic_carga;KNN_fecha_dic_carga;RF_equipo_carga;KNN_equipo_carga;GLM_equipo_carga;Ranger_equipo_carga;Ranger_FECHA_carga;RF_fecha_carga;KNN_fecha_carga;GLM_fecha_carga;RF_matrix_carga;GLM_matrix_carga;KNN_matrix_carga;RANGER_matrix_carga;RFd_carga;KNNd_carga;GLMd_carga;Ranger_matrix_dich_carga;rf_equipo_covid;KNN_covid_equipo;GLM_covid_equipo;RANGER_equipo_covid;RANGER_fecha_covid;RF_fecha_covid.x;KNN_fecha_covid.x;GLM_fecha_covid.x;rf_dico_equipo;GLM_dico_equipo_covid;KNN_dico_equipo_covid;ranger_equipo_dico_covid;Ranger_fecha_covid_dico;RF_fecha_dico_covid;GLM_fecha_dic_covid;KNN_fecha_dic_covid;RFd_matrix_covid;KNNd_matrix_dico;GLMd_matrix_covid;Ranger_matrix_dich_covid;RF_fecha_covid.y;GLM_fecha_covid.y;KNN_fecha_covid.y;Ranger_matrix_covid;RF_equipo_dic_cc;GLM_equipo_dic_cc;KNN_equipo_dic_cc;Ranger_equipo_dich_cc;Ranger_FECHA_dich_cc;RF_fecha_dic_cc;GLM_fecha_dic_cc;KNN_fecha_dic_cc;RF_equipo_cc;KNN_equipo_cc;GLM_equipo_cc;Ranger_equipo_cc;Ranger_FECHA_cc;RF_fecha_cc;KNN_fecha_cc;GLM_fecha_cc;RFd_matrix_cc;KNNd_matrix_cc;GLMd_matrix_cc;Ranger_matrix_dich_cc;RF_matrix_cc;GLM_matrix_cc;KNN_MATRIX_cc;RANGER_matrix_cc
Accuracy;0.688;0.67;0.642;0.697;0.664;0.614;0.579;0.557;0.679;0.679;0.697;0.642;0.606;0.587;0.633;0.532;0.661;0.642;0.661;0.615;0.688;0.633;0.697;0.642;0.604;0.604;0.667;0.625;0.688;0.583;0.583;0.688;0.708;0.646;0.708;0.708;0.708;0.708;0.688;0.708;0.697;0.606;0.606;0.652;0.674;0.696;0.674;0.674;0.688;0.566;0.616;0.657;0.459;0.6;0.511;0.657;0.657;0.657;0.586;0.646;0.636;0.657;0.606;0.667;0.667;0.626;0.646;0.687;0.667;0.657;0.586;0.667;0.739;0.717;0.804;0.696;0.696;0.674;0.63;0.696;0.717;0.717;0.696;0.696;0.696;0.696;0.674;0.696;0.761;0.761;0.717;0.739;0.717;0.696;0.717;0.696
Kappa;0.283;0.248;0.119;0.313;0.298;0.205;0.094;0;0.284;0.325;0.374;0.236;0.121;0.103;0.164;0;0.25;0.242;0.25;0.138;0.283;0.101;0.288;0.167;-0.181;-0.07;0.077;-0.149;0.016;-0.154;-0.101;-0.04;0;-0.115;0;0;0;0;-0.04;0;0.329;0.101;0.101;0.2;-0.042;0.183;0.06;-0.042;0.283;0.043;0.031;0.169;0;0.166;0.018;0.24;0.177;0.177;0.101;0.126;0.138;0.225;0.115;0.266;0.237;0.153;0.214;0.254;0.197;0.24;0.105;0.189;0.188;0.223;0.436;0;0;0.011;-0.065;0.053;0.097;0.097;0;0;0;0;-0.042;0;0.275;0.311;0.223;0.188;0.097;0;0.097;0
Sensitivity;0.349;0.349;0.116;0.395;0.468;0.484;0.242;0;0.419;0.581;0.651;0.488;0.326;0.372;0.302;0.349;0.419;0.512;0.419;0.326;0.349;0.116;0.302;0.256;0;0.143;0.214;0;0.071;0.071;0.143;0;0;0;0;0;0;0;0;0;0.357;0.143;0.143;0.179;0;0.286;0.143;0;0.154;0.308;0.026;0.179;1;0.339;0.484;0.41;0.27;0.27;0.405;0.189;0.205;0.359;0.308;0.436;0.333;0.308;0.385;0.256;0.205;0.41;0.385;0.179;0.143;0.286;0.357;0;0;0.071;0.071;0.071;0.071;0.071;0;0;0;0;0;0;0.214;0.286;0.286;0.143;0.071;0;0.071;0
Specificity;0.909;0.879;0.985;0.894;0.821;0.718;0.846;1;0.848;0.742;0.727;0.742;0.788;0.727;0.848;0.652;0.818;0.727;0.818;0.803;0.909;0.97;0.955;0.894;0.853;0.794;0.853;0.882;0.941;0.794;0.765;0.971;1;0.912;1;1;1;1;0.971;1;0.947;0.947;0.947;1;0.969;0.875;0.906;0.969;0.983;0.733;1;0.967;0;0.822;0.534;0.817;0.887;0.887;0.694;0.919;0.917;0.85;0.8;0.817;0.883;0.833;0.817;0.967;0.967;0.817;0.717;0.983;1;0.906;1;1;1;0.938;0.875;0.969;1;1;1;1;1;1;0.969;1;1;0.969;0.906;1;1;1;1;1
Precision;0.714;0.652;0.833;0.708;0.674;0.577;0.556;NA;0.643;0.595;0.609;0.553;0.5;0.471;0.565;0.395;0.6;0.55;0.6;0.519;0.714;0.714;0.813;0.611;0;0.222;0.375;0;0.333;0.125;0.2;0;NA;0;NA;NA;NA;NA;0;NA;0.833;0.667;0.667;1;0;0.5;0.4;0;0.857;0.429;1;0.778;0.459;0.618;0.469;0.593;0.588;0.588;0.441;0.583;0.615;0.609;0.5;0.607;0.65;0.545;0.577;0.833;0.8;0.593;0.469;0.875;1;0.571;1;NA;NA;0.333;0.2;0.5;1;1;NA;NA;NA;NA;0;NA;1;0.8;0.571;1;1;NA;1;NA
F1_Score;0.469;0.455;0.204;0.507;0.552;0.526;0.337;NA;0.507;0.588;0.629;0.519;0.394;0.416;0.394;0.37;0.493;0.53;0.493;0.4;0.469;0.2;0.441;0.361;NA;0.174;0.273;NA;0.118;0.091;0.167;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5;0.235;0.235;0.303;NA;0.364;0.211;NA;0.261;0.358;0.05;0.292;0.629;0.438;0.476;0.485;0.37;0.37;0.423;0.286;0.308;0.452;0.381;0.507;0.441;0.393;0.462;0.392;0.327;0.485;0.423;0.298;0.25;0.381;0.526;NA;NA;0.118;0.105;0.125;0.133;0.133;NA;NA;NA;NA;NA;NA;0.353;0.421;0.381;0.25;0.133;NA;0.133;NA
NPV;0.682;0.674;0.631;0.694;0.66;0.636;0.584;0.557;0.691;0.731;0.762;0.69;0.642;0.64;0.651;0.606;0.684;0.696;0.684;0.646;0.682;0.627;0.677;0.648;0.674;0.692;0.725;0.682;0.711;0.675;0.684;0.702;0.708;0.689;0.708;0.708;0.708;0.708;0.702;0.708;0.667;0.6;0.6;0.623;0.689;0.737;0.707;0.689;0.641;0.62;0.612;0.644;NA;0.594;0.549;0.681;0.671;0.671;0.662;0.655;0.64;0.671;0.64;0.69;0.671;0.649;0.671;0.667;0.652;0.681;0.642;0.648;0.727;0.744;0.78;0.696;0.696;0.698;0.683;0.705;0.711;0.711;0.696;0.696;0.696;0.696;0.689;0.696;0.744;0.756;0.744;0.727;0.711;0.696;0.711;0.696
Prevalence;0.394;0.394;0.394;0.394;0.443;0.443;0.443;0.443;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.292;0.292;0.292;NA;0.292;0.292;0.292;0.292;0.292;0.292;0.292;0.292;0.292;0.292;0.292;0.292;0.424;0.424;0.424;0.424;0.304;0.304;0.304;0.304;0.394;0.394;0.394;0.394;0.459;0.459;0.459;0.394;0.374;0.374;0.374;0.374;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.394;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304;0.304
Detection_Rate;0.138;0.138;0.046;0.156;0.207;0.214;0.107;0;0.165;0.229;0.257;0.193;0.128;0.147;0.119;0.138;0.165;0.202;0.165;0.128;0.138;0.046;0.119;0.101;0;0.042;0.062;NA;0.021;0.021;0.042;0;0;0;0;0;0;0;0;0;0.152;0.061;0.061;0.076;0;0.087;0.043;0;0.061;0.121;0.01;0.071;0.459;0.156;0.222;0.162;0.101;0.101;0.152;0.071;0.081;0.141;0.121;0.172;0.131;0.121;0.152;0.101;0.081;0.162;0.152;0.071;0.043;0.087;0.109;0;0;0.022;0.022;0.022;0.022;0.022;0;0;0;0;0;0;0.065;0.087;0.087;0.043;0.022;0;0.022;0
Balanced_Accuracy;0.629;0.614;0.551;0.645;0.644;0.601;0.544;0.5;0.634;0.662;0.689;0.615;0.557;0.55;0.575;0.5;0.618;0.619;0.618;0.564;0.629;0.543;0.628;0.575;0.426;0.468;0.534;0.441;0.506;0.433;0.454;0.485;0.5;0.456;0.5;0.5;0.5;0.5;0.485;0.5;0.652;0.545;0.545;0.589;0.484;0.58;0.525;0.484;0.569;0.521;0.513;0.573;0.5;0.58;0.509;0.613;0.579;0.579;0.549;0.554;0.561;0.604;0.554;0.626;0.608;0.571;0.601;0.612;0.586;0.613;0.551;0.581;0.571;0.596;0.679;0.5;0.5;0.504;0.473;0.52;0.536;0.536;0.5;0.5;0.5;0.5;0.484;0.5;0.607;0.627;0.596;0.571;0.536;0.5;0.536;0.5
